anio,provincia,sexo,edad,cobertura_medica,cantidad
2010,2,Varón,0,"No tiene obra social, prepaga o plan estatal",4612.0
2010,2,Mujer,0,"No tiene obra social, prepaga o plan estatal",4539.0
2010,2,Varón,0,Obra social o prepaga (incluye PAMI),13327.0
2010,2,Mujer,0,Obra social o prepaga (incluye PAMI),12375.0
2010,2,Varón,0,Programas o planes estatales de salud,285.0
2010,2,Mujer,0,Programas o planes estatales de salud,213.0
2010,2,Mujer,1,"No tiene obra social, prepaga o plan estatal",4083.0
2010,2,Varón,1,"No tiene obra social, prepaga o plan estatal",4442.0
2010,2,Mujer,1,Obra social o prepaga (incluye PAMI),12345.0
2010,2,Varón,1,Obra social o prepaga (incluye PAMI),11664.0
2010,2,Mujer,1,Programas o planes estatales de salud,325.0
2010,2,Varón,1,Programas o planes estatales de salud,395.0
2010,2,Mujer,2,"No tiene obra social, prepaga o plan estatal",3974.0
2010,2,Varón,2,"No tiene obra social, prepaga o plan estatal",4084.0
2010,2,Mujer,2,Obra social o prepaga (incluye PAMI),12024.0
2010,2,Varón,2,Obra social o prepaga (incluye PAMI),12854.0
2010,2,Mujer,2,Programas o planes estatales de salud,274.0
2010,2,Varón,2,Programas o planes estatales de salud,387.0
2010,2,Varón,3,"No tiene obra social, prepaga o plan estatal",4056.0
2010,2,Mujer,3,"No tiene obra social, prepaga o plan estatal",3848.0
2010,2,Mujer,3,Obra social o prepaga (incluye PAMI),11190.0
2010,2,Varón,3,Obra social o prepaga (incluye PAMI),11924.0
2010,2,Varón,3,Programas o planes estatales de salud,277.0
2010,2,Mujer,3,Programas o planes estatales de salud,328.0
2010,2,Mujer,4,"No tiene obra social, prepaga o plan estatal",3828.0
2010,2,Varón,4,"No tiene obra social, prepaga o plan estatal",4108.0
2010,2,Mujer,4,Obra social o prepaga (incluye PAMI),12106.0
2010,2,Varón,4,Obra social o prepaga (incluye PAMI),12190.0
2010,2,Mujer,4,Programas o planes estatales de salud,279.0
2010,2,Varón,4,Programas o planes estatales de salud,372.0
2010,2,Varón,5,"No tiene obra social, prepaga o plan estatal",3478.0
2010,2,Mujer,5,"No tiene obra social, prepaga o plan estatal",3623.0
2010,2,Varón,5,Obra social o prepaga (incluye PAMI),12303.0
2010,2,Mujer,5,Obra social o prepaga (incluye PAMI),11878.0
2010,2,Varón,5,Programas o planes estatales de salud,296.0
2010,2,Mujer,5,Programas o planes estatales de salud,353.0
2010,2,Varón,6,"No tiene obra social, prepaga o plan estatal",3480.0
2010,2,Mujer,6,"No tiene obra social, prepaga o plan estatal",3356.0
2010,2,Mujer,6,Obra social o prepaga (incluye PAMI),12295.0
2010,2,Varón,6,Obra social o prepaga (incluye PAMI),12238.0
2010,2,Varón,6,Programas o planes estatales de salud,273.0
2010,2,Mujer,6,Programas o planes estatales de salud,295.0
2010,2,Mujer,7,"No tiene obra social, prepaga o plan estatal",3422.0
2010,2,Varón,7,"No tiene obra social, prepaga o plan estatal",3748.0
2010,2,Mujer,7,Obra social o prepaga (incluye PAMI),11153.0
2010,2,Varón,7,Obra social o prepaga (incluye PAMI),11696.0
2010,2,Mujer,7,Programas o planes estatales de salud,305.0
2010,2,Varón,7,Programas o planes estatales de salud,283.0
2010,2,Mujer,8,"No tiene obra social, prepaga o plan estatal",3347.0
2010,2,Varón,8,"No tiene obra social, prepaga o plan estatal",3672.0
2010,2,Varón,8,Obra social o prepaga (incluye PAMI),11862.0
2010,2,Mujer,8,Obra social o prepaga (incluye PAMI),11231.0
2010,2,Varón,8,Programas o planes estatales de salud,248.0
2010,2,Mujer,8,Programas o planes estatales de salud,321.0
2010,2,Mujer,9,"No tiene obra social, prepaga o plan estatal",3464.0
2010,2,Varón,9,"No tiene obra social, prepaga o plan estatal",3801.0
2010,2,Varón,9,Obra social o prepaga (incluye PAMI),11380.0
2010,2,Mujer,9,Obra social o prepaga (incluye PAMI),11305.0
2010,2,Mujer,9,Programas o planes estatales de salud,361.0
2010,2,Varón,9,Programas o planes estatales de salud,386.0
2010,2,Varón,10,"No tiene obra social, prepaga o plan estatal",3874.0
2010,2,Mujer,10,"No tiene obra social, prepaga o plan estatal",3325.0
2010,2,Varón,10,Obra social o prepaga (incluye PAMI),11664.0
2010,2,Mujer,10,Obra social o prepaga (incluye PAMI),11385.0
2010,2,Varón,10,Programas o planes estatales de salud,307.0
2010,2,Mujer,10,Programas o planes estatales de salud,288.0
2010,2,Mujer,11,"No tiene obra social, prepaga o plan estatal",3425.0
2010,2,Varón,11,"No tiene obra social, prepaga o plan estatal",3509.0
2010,2,Varón,11,Obra social o prepaga (incluye PAMI),10606.0
2010,2,Mujer,11,Obra social o prepaga (incluye PAMI),10353.0
2010,2,Mujer,11,Programas o planes estatales de salud,324.0
2010,2,Varón,11,Programas o planes estatales de salud,422.0
2010,2,Mujer,12,"No tiene obra social, prepaga o plan estatal",3599.0
2010,2,Varón,12,"No tiene obra social, prepaga o plan estatal",3733.0
2010,2,Mujer,12,Obra social o prepaga (incluye PAMI),10791.0
2010,2,Varón,12,Obra social o prepaga (incluye PAMI),11408.0
2010,2,Mujer,12,Programas o planes estatales de salud,380.0
2010,2,Varón,12,Programas o planes estatales de salud,402.0
2010,2,Varón,13,"No tiene obra social, prepaga o plan estatal",3281.0
2010,2,Mujer,13,"No tiene obra social, prepaga o plan estatal",3439.0
2010,2,Varón,13,Obra social o prepaga (incluye PAMI),10566.0
2010,2,Mujer,13,Obra social o prepaga (incluye PAMI),10629.0
2010,2,Varón,13,Programas o planes estatales de salud,388.0
2010,2,Mujer,13,Programas o planes estatales de salud,421.0
2010,2,Mujer,14,"No tiene obra social, prepaga o plan estatal",3751.0
2010,2,Varón,14,"No tiene obra social, prepaga o plan estatal",3800.0
2010,2,Mujer,14,Obra social o prepaga (incluye PAMI),10873.0
2010,2,Varón,14,Obra social o prepaga (incluye PAMI),11872.0
2010,2,Mujer,14,Programas o planes estatales de salud,356.0
2010,2,Varón,14,Programas o planes estatales de salud,407.0
2010,2,Mujer,15,"No tiene obra social, prepaga o plan estatal",3715.0
2010,2,Varón,15,"No tiene obra social, prepaga o plan estatal",3845.0
2010,2,Mujer,15,Obra social o prepaga (incluye PAMI),11126.0
2010,2,Varón,15,Obra social o prepaga (incluye PAMI),11788.0
2010,2,Mujer,15,Programas o planes estatales de salud,445.0
2010,2,Varón,15,Programas o planes estatales de salud,418.0
2010,2,Mujer,16,"No tiene obra social, prepaga o plan estatal",3702.0
2010,2,Varón,16,"No tiene obra social, prepaga o plan estatal",3718.0
2010,2,Mujer,16,Obra social o prepaga (incluye PAMI),10960.0
2010,2,Varón,16,Obra social o prepaga (incluye PAMI),11150.0
