Unnamed: 0,codigo_def,categorias,codigo,clasificacion
,,,A00,Sin Información
0.0,A01,Enfermedades infecciosas y parasitarias ,,
1.0,A02,Enfermedades infecciosas y parasitarias ,,
2.0,A03,Enfermedades infecciosas y parasitarias ,,
3.0,A04,Enfermedades infecciosas y parasitarias ,,
4.0,A05,Enfermedades infecciosas y parasitarias ,,
5.0,A06,Enfermedades infecciosas y parasitarias ,,
6.0,A07,Enfermedades infecciosas y parasitarias ,,
7.0,A08,Enfermedades infecciosas y parasitarias ,,
8.0,A09,Enfermedades infecciosas y parasitarias ,,
9.0,A15,Enfermedades infecciosas y parasitarias ,,
10.0,A16,Enfermedades infecciosas y parasitarias ,,
11.0,A17,Enfermedades infecciosas y parasitarias ,,
12.0,A18,Enfermedades infecciosas y parasitarias ,,
13.0,A19,Enfermedades infecciosas y parasitarias ,,
14.0,A21,Enfermedades infecciosas y parasitarias ,,
15.0,A22,Enfermedades infecciosas y parasitarias ,,
16.0,A23,Enfermedades infecciosas y parasitarias ,,
17.0,A26,Enfermedades infecciosas y parasitarias ,,
18.0,A27,Enfermedades infecciosas y parasitarias ,,
19.0,A28,Enfermedades infecciosas y parasitarias ,,
20.0,A30,Enfermedades infecciosas y parasitarias ,,
21.0,A31,Enfermedades infecciosas y parasitarias ,,
22.0,A32,Enfermedades infecciosas y parasitarias ,,
23.0,A33,Enfermedades infecciosas y parasitarias ,,
24.0,A35,Enfermedades infecciosas y parasitarias ,,
25.0,A37,Enfermedades infecciosas y parasitarias ,,
26.0,A39,Enfermedades infecciosas y parasitarias ,,
27.0,A40,Enfermedades infecciosas y parasitarias ,,
28.0,A41,Enfermedades infecciosas y parasitarias ,,
29.0,A42,Enfermedades infecciosas y parasitarias ,,
30.0,A43,Enfermedades infecciosas y parasitarias ,,
31.0,A44,Enfermedades infecciosas y parasitarias ,,
32.0,A46,Enfermedades infecciosas y parasitarias ,,
33.0,A48,Enfermedades infecciosas y parasitarias ,,
34.0,A49,Enfermedades infecciosas y parasitarias ,,
35.0,A50,Enfermedades infecciosas y parasitarias ,,
36.0,A51,Enfermedades infecciosas y parasitarias ,,
37.0,A52,Enfermedades infecciosas y parasitarias ,,
38.0,A53,Enfermedades infecciosas y parasitarias ,,
39.0,A54,Enfermedades infecciosas y parasitarias ,,
40.0,A55,Enfermedades infecciosas y parasitarias ,,
41.0,A59,Enfermedades infecciosas y parasitarias ,,
42.0,A60,Enfermedades infecciosas y parasitarias ,,
43.0,A63,Enfermedades infecciosas y parasitarias ,,
44.0,A64,Enfermedades infecciosas y parasitarias ,,
45.0,A69,Enfermedades infecciosas y parasitarias ,,
46.0,A70,Enfermedades infecciosas y parasitarias ,,
47.0,A71,Enfermedades infecciosas y parasitarias ,,
48.0,A74,Enfermedades infecciosas y parasitarias ,,
49.0,A77,Enfermedades infecciosas y parasitarias ,,
50.0,A81,Enfermedades infecciosas y parasitarias ,,
51.0,A83,Enfermedades infecciosas y parasitarias ,,
52.0,A84,Enfermedades infecciosas y parasitarias ,,
53.0,A85,Enfermedades infecciosas y parasitarias ,,
54.0,A86,Enfermedades infecciosas y parasitarias ,,
55.0,A87,Enfermedades infecciosas y parasitarias ,,
56.0,A88,Enfermedades infecciosas y parasitarias ,,
57.0,A89,Enfermedades infecciosas y parasitarias ,,
58.0,A90,Enfermedades infecciosas y parasitarias ,,
59.0,A91,Enfermedades infecciosas y parasitarias ,,
60.0,A92,Enfermedades infecciosas y parasitarias ,,
61.0,A94,Enfermedades infecciosas y parasitarias ,,
62.0,A95,Enfermedades infecciosas y parasitarias ,,
63.0,A96,Enfermedades infecciosas y parasitarias ,,
64.0,A98,Enfermedades infecciosas y parasitarias ,,
65.0,A99,Enfermedades infecciosas y parasitarias ,,
66.0,B00,Enfermedades infecciosas y parasitarias ,,
67.0,B01,Enfermedades infecciosas y parasitarias ,,
68.0,B02,Enfermedades infecciosas y parasitarias ,,
69.0,B04,Enfermedades infecciosas y parasitarias ,,
70.0,B05,Enfermedades infecciosas y parasitarias ,,
71.0,B06,Enfermedades infecciosas y parasitarias ,,
72.0,B09,Enfermedades infecciosas y parasitarias ,,
73.0,B15,Enfermedades infecciosas y parasitarias ,,
74.0,B16,Enfermedades infecciosas y parasitarias ,,
75.0,B17,Enfermedades infecciosas y parasitarias ,,
76.0,B18,Enfermedades infecciosas y parasitarias ,,
77.0,B19,Enfermedades infecciosas y parasitarias ,,
78.0,B20,Enfermedades infecciosas y parasitarias ,,
79.0,B21,Enfermedades infecciosas y parasitarias ,,
80.0,B22,Enfermedades infecciosas y parasitarias ,,
81.0,B23,Enfermedades infecciosas y parasitarias ,,
82.0,B24,Enfermedades infecciosas y parasitarias ,,
83.0,B25,Enfermedades infecciosas y parasitarias ,,
84.0,B26,Enfermedades infecciosas y parasitarias ,,
