anio,provincia_id,categorias,sexo,grupo_edad,cantidad
2011,30,Tumores ,femenino,15-34,16.0
2021,54,Tumores ,femenino,15-34,30.0
2021,38,Tumores ,masculino,15-34,14.0
2006,82,Tumores ,masculino,15-34,42.0
2011,6,Tumores ,masculino,15-34,291.0
2020,66,Tumores ,masculino,15-34,35.0
2009,82,Tumores ,masculino,15-34,50.0
2015,2,Tumores ,femenino,15-34,47.0
2007,2,Tumores ,masculino,15-34,48.0
2018,58,Tumores ,masculino,15-34,15.0
2007,90,Tumores ,masculino,15-34,29.0
2011,82,Tumores ,masculino,15-34,63.0
2012,86,Tumores ,masculino,15-34,14.0
2017,6,Tumores ,masculino,15-34,305.0
2012,14,Tumores ,femenino,15-34,61.0
2013,14,Tumores ,femenino,15-34,56.0
2013,30,Tumores ,masculino,15-34,23.0
2005,90,Tumores ,masculino,15-34,26.0
2020,62,Tumores ,masculino,15-34,15.0
2013,46,Tumores ,masculino,15-34,6.0
2011,18,Tumores ,femenino,15-34,20.0
2006,6,Tumores ,femenino,15-34,240.0
2008,6,Tumores ,masculino,15-34,293.0
2022,34,Tumores ,femenino,15-34,18.0
2018,30,Tumores ,masculino,15-34,21.0
2006,58,Tumores ,femenino,15-34,13.0
2011,14,Tumores ,femenino,15-34,51.0
2015,54,Tumores ,masculino,15-34,24.0
2012,26,Tumores ,masculino,15-34,9.0
2016,82,Tumores ,femenino,15-34,60.0
2015,6,Tumores ,femenino,15-34,265.0
2020,30,Tumores ,femenino,15-34,24.0
2014,6,Tumores ,femenino,15-34,254.0
2009,6,Tumores ,femenino,15-34,258.0
2021,10,Tumores ,masculino,15-34,5.0
2022,82,Tumores ,femenino,35-54,393.0
2015,14,Tumores ,masculino,35-54,234.0
2013,6,Tumores ,femenino,35-54,1737.0
2007,14,Tumores ,masculino,35-54,302.0
2021,34,Tumores ,femenino,35-54,60.0
2015,18,Tumores ,femenino,35-54,129.0
2006,58,Tumores ,masculino,35-54,49.0
2012,14,Tumores ,femenino,35-54,324.0
2014,90,Tumores ,masculino,35-54,85.0
2010,26,Tumores ,femenino,35-54,65.0
2008,6,Tumores ,femenino,35-54,1630.0
2005,30,Tumores ,femenino,35-54,138.0
2010,30,Tumores ,masculino,35-54,149.0
2009,30,Tumores ,masculino,35-54,164.0
2018,70,Tumores ,femenino,35-54,74.0
2008,34,Tumores ,masculino,35-54,55.0
2019,22,Tumores ,femenino,35-54,149.0
2008,30,Tumores ,femenino,35-54,143.0
2011,58,Tumores ,femenino,35-54,52.0
2013,50,Tumores ,masculino,35-54,144.0
2021,26,Tumores ,masculino,35-54,43.0
2008,2,Tumores ,masculino,35-54,321.0
2011,30,Tumores ,femenino,35-54,152.0
2020,90,Tumores ,femenino,35-54,162.0
2012,30,Tumores ,masculino,35-54,120.0
2018,82,Tumores ,masculino,35-54,288.0
2006,94,Tumores ,masculino,35-54,12.0
2005,82,Tumores ,masculino,35-54,361.0
2019,30,Tumores ,femenino,35-54,149.0
2012,2,Tumores ,masculino,35-54,245.0
2005,50,Tumores ,masculino,35-54,122.0
2015,50,Tumores ,femenino,35-54,191.0
2015,6,Tumores ,femenino,35-54,1785.0
2007,50,Tumores ,masculino,35-54,146.0
2005,26,Tumores ,masculino,35-54,47.0
2021,54,Tumores ,femenino,35-54,144.0
2018,54,Tumores ,femenino,35-54,114.0
2014,54,Tumores ,masculino,35-54,88.0
2006,14,Tumores ,femenino,35-54,326.0
2018,34,Tumores ,femenino,35-54,58.0
2017,90,Tumores ,femenino,35-54,143.0
2021,6,Tumores ,masculino,35-54,1250.0
2013,2,Tumores ,masculino,35-54,258.0
2007,18,Tumores ,femenino,35-54,114.0
2016,34,Tumores ,masculino,35-54,38.0
2006,10,Tumores ,masculino,35-54,17.0
2007,70,Tumores ,femenino,35-54,75.0
2006,2,Tumores ,femenino,35-54,404.0
2012,62,Tumores ,femenino,35-54,65.0
2020,62,Tumores ,masculino,35-54,56.0
2007,30,Tumores ,femenino,35-54,136.0
2009,99,Tumores ,femenino,35-54,15.0
2019,50,Tumores ,masculino,35-54,119.0
2013,14,Tumores ,femenino,35-54,370.0
2005,70,Tumores ,masculino,35-54,50.0
2008,6,Tumores ,masculino,35-54,1454.0
2018,54,Tumores ,masculino,35-54,83.0
2005,42,Tumores ,masculino,35-54,47.0
2015,22,Tumores ,masculino,35-54,120.0
2009,50,Tumores ,femenino,35-54,175.0
2006,6,Tumores ,masculino,35-54,1428.0
2007,99,Tumores ,femenino,35-54,10.0
2009,82,Tumores ,masculino,35-54,374.0
2020,2,Tumores ,masculino,35-54,229.0
2020,6,Tumores ,masculino,35-54,1211.0
2018,2,Tumores ,femenino,35-54,369.0
2014,30,Tumores ,femenino,35-54,142.0
2006,50,Tumores ,femenino,35-54,160.0
2022,14,Tumores ,femenino,35-54,335.0
2016,54,Tumores ,masculino,35-54,95.0
2018,50,Tumores ,femenino,35-54,187.0
2022,90,Tumores ,masculino,35-54,79.0
2011,50,Tumores ,masculino,35-54,157.0
2012,22,Tumores ,femenino,35-54,133.0
2015,26,Tumores ,masculino,35-54,47.0
2007,42,Tumores ,masculino,35-54,43.0
2005,6,Tumores ,femenino,35-54,1666.0
2017,2,Tumores ,femenino,35-54,320.0
2020,14,Tumores ,masculino,35-54,221.0
2016,30,Tumores ,masculino,35-54,139.0
2005,6,Tumores ,femenino,55-74,4414.0
2015,6,Tumores ,femenino,55-74,5551.0
2020,2,Tumores ,femenino,55-74,1210.0
2008,82,Tumores ,femenino,55-74,1147.0
2016,22,Tumores ,femenino,55-74,316.0
2008,14,Tumores ,femenino,55-74,962.0
