anio,provincia,sexo,edad,cobertura_medica,cantidad
2010,2,Varón,0,Obra social (incluye PAMI),5906
2010,2,Mujer,0,Obra social (incluye PAMI),5544
2010,2,Varón,1,Obra social (incluye PAMI),5229
2010,2,Mujer,1,Obra social (incluye PAMI),5830
2010,2,Varón,2,Obra social (incluye PAMI),5844
2010,2,Mujer,2,Obra social (incluye PAMI),5608
2010,2,Varón,3,Obra social (incluye PAMI),5461
2010,2,Mujer,3,Obra social (incluye PAMI),5130
2010,2,Varón,4,Obra social (incluye PAMI),5908
2010,2,Mujer,4,Obra social (incluye PAMI),5811
2010,2,Varón,5,Obra social (incluye PAMI),5796
2010,2,Mujer,5,Obra social (incluye PAMI),5610
2010,2,Varón,6,Obra social (incluye PAMI),6135
2010,2,Mujer,6,Obra social (incluye PAMI),6314
2010,2,Varón,7,Obra social (incluye PAMI),5941
2010,2,Mujer,7,Obra social (incluye PAMI),5633
2010,2,Varón,8,Obra social (incluye PAMI),5998
2010,2,Mujer,8,Obra social (incluye PAMI),5551
2010,2,Varón,9,Obra social (incluye PAMI),5789
2010,2,Mujer,9,Obra social (incluye PAMI),5625
2010,2,Varón,10,Obra social (incluye PAMI),6261
2010,2,Mujer,10,Obra social (incluye PAMI),5994
2010,2,Varón,11,Obra social (incluye PAMI),5595
2010,2,Mujer,11,Obra social (incluye PAMI),5642
2010,2,Varón,12,Obra social (incluye PAMI),6211
2010,2,Mujer,12,Obra social (incluye PAMI),5734
2010,2,Varón,13,Obra social (incluye PAMI),5821
2010,2,Mujer,13,Obra social (incluye PAMI),6132
2010,2,Varón,14,Obra social (incluye PAMI),6655
2010,2,Mujer,14,Obra social (incluye PAMI),5955
2010,2,Varón,15,Obra social (incluye PAMI),6438
2010,2,Mujer,15,Obra social (incluye PAMI),6188
2010,2,Varón,16,Obra social (incluye PAMI),6202
2010,2,Mujer,16,Obra social (incluye PAMI),6136
2010,2,Varón,17,Obra social (incluye PAMI),6166
2010,2,Mujer,17,Obra social (incluye PAMI),6320
2010,2,Varón,18,Obra social (incluye PAMI),7114
2010,2,Mujer,18,Obra social (incluye PAMI),7354
2010,2,Varón,19,Obra social (incluye PAMI),7932
2010,2,Mujer,19,Obra social (incluye PAMI),7979
2010,2,Varón,20,Obra social (incluye PAMI),8508
2010,2,Mujer,20,Obra social (incluye PAMI),8607
2010,2,Varón,21,Obra social (incluye PAMI),8239
2010,2,Mujer,21,Obra social (incluye PAMI),8198
2010,2,Varón,22,Obra social (incluye PAMI),8130
2010,2,Mujer,22,Obra social (incluye PAMI),8331
2010,2,Varón,23,Obra social (incluye PAMI),8601
2010,2,Mujer,23,Obra social (incluye PAMI),9613
2010,2,Varón,24,Obra social (incluye PAMI),9594
2010,2,Mujer,24,Obra social (incluye PAMI),9398
2010,2,Varón,25,Obra social (incluye PAMI),9015
2010,2,Mujer,25,Obra social (incluye PAMI),8950
2010,2,Varón,26,Obra social (incluye PAMI),9230
2010,2,Mujer,26,Obra social (incluye PAMI),8657
2010,2,Varón,27,Obra social (incluye PAMI),9350
2010,2,Mujer,27,Obra social (incluye PAMI),9056
2010,2,Varón,28,Obra social (incluye PAMI),9623
2010,2,Mujer,28,Obra social (incluye PAMI),9762
2010,2,Varón,29,Obra social (incluye PAMI),9556
2010,2,Mujer,29,Obra social (incluye PAMI),8913
2010,2,Varón,30,Obra social (incluye PAMI),10540
2010,2,Mujer,30,Obra social (incluye PAMI),10351
2010,2,Varón,31,Obra social (incluye PAMI),9453
2010,2,Mujer,31,Obra social (incluye PAMI),9489
2010,2,Varón,32,Obra social (incluye PAMI),8970
2010,2,Mujer,32,Obra social (incluye PAMI),9301
2010,2,Varón,33,Obra social (incluye PAMI),8758
2010,2,Mujer,33,Obra social (incluye PAMI),9452
2010,2,Varón,34,Obra social (incluye PAMI),8415
2010,2,Mujer,34,Obra social (incluye PAMI),9308
2010,2,Varón,35,Obra social (incluye PAMI),8056
2010,2,Mujer,35,Obra social (incluye PAMI),9041
2010,2,Varón,36,Obra social (incluye PAMI),8093
2010,2,Mujer,36,Obra social (incluye PAMI),8705
2010,2,Varón,37,Obra social (incluye PAMI),7854
2010,2,Mujer,37,Obra social (incluye PAMI),8106
2010,2,Varón,38,Obra social (incluye PAMI),7304
2010,2,Mujer,38,Obra social (incluye PAMI),8053
2010,2,Varón,39,Obra social (incluye PAMI),7896
2010,2,Mujer,39,Obra social (incluye PAMI),7932
2010,2,Varón,40,Obra social (incluye PAMI),7463
2010,2,Mujer,40,Obra social (incluye PAMI),8034
2010,2,Varón,41,Obra social (incluye PAMI),7168
2010,2,Mujer,41,Obra social (incluye PAMI),7625
2010,2,Varón,42,Obra social (incluye PAMI),6772
2010,2,Mujer,42,Obra social (incluye PAMI),7368
2010,2,Varón,43,Obra social (incluye PAMI),6044
2010,2,Mujer,43,Obra social (incluye PAMI),7591
2010,2,Varón,44,Obra social (incluye PAMI),6064
2010,2,Mujer,44,Obra social (incluye PAMI),7128
2010,2,Varón,45,Obra social (incluye PAMI),6436
2010,2,Mujer,45,Obra social (incluye PAMI),7518
2010,2,Varón,46,Obra social (incluye PAMI),6873
2010,2,Mujer,46,Obra social (incluye PAMI),7728
2010,2,Varón,47,Obra social (incluye PAMI),7133
2010,2,Mujer,47,Obra social (incluye PAMI),7480
2010,2,Varón,48,Obra social (incluye PAMI),6770
2010,2,Mujer,48,Obra social (incluye PAMI),7861
2010,2,Varón,49,Obra social (incluye PAMI),6533
2010,2,Mujer,49,Obra social (incluye PAMI),8133
2010,2,Varón,50,Obra social (incluye PAMI),6646
2010,2,Mujer,50,Obra social (incluye PAMI),8379
2010,2,Varón,51,Obra social (incluye PAMI),6331
2010,2,Mujer,51,Obra social (incluye PAMI),7841
2010,2,Varón,52,Obra social (incluye PAMI),6601
2010,2,Mujer,52,Obra social (incluye PAMI),8152
2010,2,Varón,53,Obra social (incluye PAMI),6966
2010,2,Mujer,53,Obra social (incluye PAMI),8523
2010,2,Varón,54,Obra social (incluye PAMI),6317
2010,2,Mujer,54,Obra social (incluye PAMI),8502
2010,2,Varón,55,Obra social (incluye PAMI),6561
2010,2,Mujer,55,Obra social (incluye PAMI),8020
2010,2,Varón,56,Obra social (incluye PAMI),6107
2010,2,Mujer,56,Obra social (incluye PAMI),7863
2010,2,Varón,57,Obra social (incluye PAMI),6457
2010,2,Mujer,57,Obra social (incluye PAMI),8000
2010,2,Varón,58,Obra social (incluye PAMI),5807
2010,2,Mujer,58,Obra social (incluye PAMI),7672
2010,2,Varón,59,Obra social (incluye PAMI),5402
2010,2,Mujer,59,Obra social (incluye PAMI),7579
2010,2,Varón,60,Obra social (incluye PAMI),6548
2010,2,Mujer,60,Obra social (incluye PAMI),9304
